marker1,marker2,marker3,distance1,distance2,distance3,AAA,AAB,AAH,ABA,ABB,ABH,AHA,AHB,AHH,BAA,BAB,BAH,BBA,BBB,BBH,BHA,BHB,BHH,HAA,HAB,HAH,HBA,HBB,HBH,HHA,HHB,HHH
D1M31,D1M37,D1M38,40.26845638,48.32214765,49.66442953,534,0,28,0,10,0,4,2,132,7,0,0,0,567,21,5,2,151,162,0,5,0,136,5,25,27,1176
D1M34,D1M35,D1M47,44.29530201,45.63758389,61.74496644,466,26,205,0,0,0,1,4,18,0,0,0,42,443,233,5,6,15,18,0,13,2,14,13,236,236,1003
D1M34,D1M35,D1M48,44.29530201,45.63758389,63.08724832,451,30,216,0,0,0,1,4,18,0,0,0,43,430,245,7,6,13,17,0,14,2,14,13,249,247,979
D1M34,D1M35,D1M41,44.29530201,45.63758389,53.69127517,547,12,138,0,0,0,2,3,18,0,0,0,12,570,136,3,1,22,25,0,6,1,19,9,146,152,1177
D1M34,D1M47,D1M48,44.29530201,61.74496644,63.08724832,450,1,16,0,30,0,2,3,218,45,0,2,0,433,16,5,3,240,251,0,5,0,246,4,17,15,997
D1M34,D1M41,D1M47,44.29530201,53.69127517,61.74496644,445,1,103,1,11,3,21,18,117,13,0,2,14,431,126,20,18,120,136,0,36,3,135,33,117,115,960
D1M34,D1M41,D1M48,44.29530201,53.69127517,63.08724832,428,2,119,1,11,3,23,21,112,12,0,3,14,417,140,24,19,115,134,1,37,3,132,36,131,128,933
D1M35,D1M47,D1M48,45.63758389,61.74496644,63.08724832,466,1,17,0,26,0,2,3,213,42,0,2,0,441,16,3,3,240,238,0,4,0,242,4,19,15,1002
D1M35,D1M41,D1M47,45.63758389,53.69127517,61.74496644,462,1,109,1,9,2,21,16,107,11,0,2,15,444,130,18,13,114,121,0,30,2,124,30,119,122,976
D1M35,D1M41,D1M48,45.63758389,53.69127517,63.08724832,444,2,126,1,9,2,23,19,102,10,0,3,15,430,144,20,14,111,120,1,30,2,121,33,135,135,947
D1M41,D1M47,D1M48,53.69127517,61.74496644,63.08724832,574,1,19,0,1,0,0,1,140,17,0,1,0,558,19,1,2,159,155,0,3,0,150,1,23,18,1156
D1M44,D1M45,D1M57,57.71812081,59.06040268,75.16778523,452,22,251,0,0,0,4,4,27,0,0,0,22,451,232,6,3,24,25,1,15,2,22,12,225,225,974
D1M44,D1M45,D1M58,57.71812081,59.06040268,76.51006711,436,27,262,0,0,0,4,4,27,0,0,0,23,432,250,6,6,21,25,1,15,2,22,12,235,237,952
D1M44,D1M45,D1M51,57.71812081,59.06040268,67.11409396,567,5,153,0,0,0,2,1,32,0,0,0,7,569,129,2,3,28,33,1,7,0,30,6,134,120,1170
D1M44,D1M57,D1M58,57.71812081,75.16778523,76.51006711,436,0,20,0,26,0,4,5,269,27,0,1,0,428,26,2,10,244,239,0,13,0,244,4,23,16,962
D1M44,D1M51,D1M57,57.71812081,67.11409396,75.16778523,442,6,121,0,6,0,14,14,157,8,0,1,6,442,124,14,12,131,132,0,35,2,117,32,118,131,934
D1M44,D1M51,D1M58,57.71812081,67.11409396,76.51006711,423,9,137,0,6,0,17,16,152,8,0,1,6,424,142,15,14,128,128,1,38,3,116,32,131,143,909
D1M45,D1M57,D1M58,59.06040268,75.16778523,76.51006711,457,0,20,0,23,0,4,5,257,23,0,1,0,447,26,2,7,235,222,0,13,0,228,4,23,19,983
D1M45,D1M51,D1M57,59.06040268,67.11409396,75.16778523,465,6,129,0,6,0,12,11,137,6,0,1,7,461,131,11,12,112,111,0,27,1,98,25,123,134,973
D1M45,D1M51,D1M58,59.06040268,67.11409396,76.51006711,446,9,145,0,6,0,15,13,132,6,0,1,7,443,149,12,11,112,107,1,30,2,97,25,136,149,945
D1M51,D1M57,D1M58,67.11409396,75.16778523,76.51006711,557,0,25,0,6,0,2,4,151,7,0,1,0,539,26,2,7,147,138,0,8,0,153,4,25,20,1177
D1M54,D1M55,D1M67,71.1409396,72.48322148,88.59060403,471,30,218,0,0,0,3,0,23,0,0,0,34,454,204,5,5,22,12,1,9,0,22,14,201,234,1037
